1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
100001,每日江湖,1,1,1,0,1,0,10,1,2000,0,0,0,0,50,0,0,0,"通过主页进入江湖界面，闯关胜利10次。",0,0,0,每日江湖,0
100002,每日论剑,1,2,5,0,1,0,5,1,2000,0,0,0,0,50,3,26,1,"通过主页进入论剑界面，挑战其他玩家5次",0,0,0,每日论剑,0
100003,每日学艺,1,3,6,0,1,0,5,1,2000,0,0,0,0,50,0,0,0,"通过主页进入学艺界面，向名师学艺5次。",0,0,0,每日学艺,0
100004,每日夺宝,1,4,10,0,1,0,5,1,2000,0,0,0,0,50,0,0,0,"通过主页进入夺宝界面，抢夺获得碎片5个。",0,0,0,每日夺宝,0
100005,每日强化,1,5,1,0,1,0,10,1,2000,0,0,0,0,50,0,0,0,进入背包界面强化装备10次,0,0,0,每日强化,0
100006,每日讨伐,1,6,3,0,1,0,10,1,2000,0,0,0,0,50,3,26,1,"通过江湖、讨伐系统，讨伐BOSS10次。",0,0,0,每日讨伐,0
100007,每日四星,1,7,1000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,通过招募系统每日招募四星1个,0,0,0,每日招募四星,0
100008,每日五星,1,8,1000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,通过招募系统每日招募五星1个,0,0,0,每日招募五星,0
200001,强者之路,2,11,0,0,0,0,5,0,1000,0,0,0,0,500,0,0,0,达到5级,0,200002,0,强者之路,0
200002,强者之路,2,11,0,0,0,0,10,0,3000,0,0,0,0,500,0,0,0,达到10级,0,200003,0,强者之路,0
200003,强者之路,2,11,0,0,0,0,15,0,5000,0,0,0,0,500,0,0,0,达到15级,0,200004,0,强者之路,0
200004,强者之路,2,11,0,0,0,0,20,0,7000,0,0,0,0,500,0,0,0,达到20级,0,200005,0,强者之路,0
200005,强者之路,2,11,0,0,0,0,25,0,9000,0,0,0,0,500,0,0,0,达到25级,0,200006,0,强者之路,0
200006,强者之路,2,11,0,0,0,0,30,0,11000,0,0,0,0,500,0,0,0,达到30级,0,200007,0,强者之路,0
200007,强者之路,2,11,0,0,0,0,35,0,13000,0,0,0,0,500,0,0,0,达到35级,0,200008,0,强者之路,0
200008,强者之路,2,11,0,0,0,0,40,0,15000,0,0,0,0,500,0,0,0,达到40级,0,200009,0,强者之路,0
200009,强者之路,2,11,0,0,0,0,45,0,17000,0,0,0,0,500,0,0,0,达到45级,0,200010,0,强者之路,0
200010,强者之路,2,11,0,0,0,0,50,0,19000,0,0,0,0,500,0,0,0,达到50级,0,200011,0,强者之路,0
200011,强者之路,2,11,0,0,0,0,60,0,21000,0,0,0,0,500,0,0,0,达到60级,0,200012,0,强者之路,0
200012,强者之路,2,11,0,0,0,0,70,0,23000,0,0,0,0,500,0,0,0,达到70级,0,200013,0,强者之路,0
200013,强者之路,2,11,0,0,0,0,80,0,25000,0,0,0,0,500,0,0,0,达到80级,0,200014,0,强者之路,0
200014,强者之路,2,11,0,0,0,0,90,0,27000,0,0,0,0,500,0,0,0,达到90级,0,200015,0,强者之路,0
200015,强者之路,2,11,0,0,0,0,100,0,29000,0,0,0,0,500,0,0,0,达到100级,0,200016,0,强者之路,0
200016,强者之路,2,11,0,0,0,0,110,0,31000,0,0,0,0,500,0,0,0,达到110级,0,200017,0,强者之路,0
200017,强者之路,2,11,0,0,0,0,120,0,33000,0,0,0,0,500,0,0,0,达到120级,0,200018,0,强者之路,0
200018,强者之路,2,11,0,0,0,0,130,0,35000,0,0,0,0,500,0,0,0,达到130级,0,200019,0,强者之路,0
200019,强者之路,2,11,0,0,0,0,140,0,37000,0,0,0,0,500,0,0,0,达到140级,0,200020,0,强者之路,0
