1,2,3,4,5,6,7,8
1,0,每日签到,"坚持每天登陆签到，元宝、英雄帖、高级师傅等你拿！详情请点击查看。",1,25,UI/huodong_tu_3.png,4
3,0,江湖讨伐,"讨伐活动开启时间为每天11点-1点、18点-20点。",0,0,UI/huodong_tu_4.png,24
4,0,普通转盘,"转转转，转出超级大礼。",1,26,UI/huodong_tu_5.png,8
5,0,超级转盘,"赢赢赢，赢得元宝道具。",1,27,UI/huodong_tu_6.png,9
6,0,拜师学艺,"通过拜师学艺可以修行到高级技能，提示师傅的好感度还可以提升名师指点的属性加成！",1,13,UI/huodong_tu_1.png,5
7,0,醉仙楼,"每天中午11-13点，晚上17-19点可定时恢复体力、精力。",1,29,UI/huodong_tu_7.png,6
8,0,经验提升,"在活动时间内江湖推图会获得多倍经验。",1,14,UI/huodong_tu_8.png,14
9,0,铜钱提升,"在活动时间内江湖推图会获得多倍铜钱。",1,14,UI/huodong_tu_9.png,15
10,0,掉落提升,"在活动时间内江湖推图掉落概率大幅提升。",1,14,UI/huodong_tu_10.png,16
11,0,讨伐排行榜,"根据玩家讨伐强敌的伤害贡献做出排名，BOSS等级越高，贡献越高，排名靠前玩家会获得精彩奖励。",1,32,UI/huodong_tu_11.png,3
12,0,单笔充值,"单笔充值达到一定金额可以领取相应奖励。",0,0,UI/huodong_tu_12.png,10
13,0,累计充值,"累计充值达到一定金额可以领取相应奖励。",0,0,UI/huodong_tu_13.png,11
14,0,循环充值,"循环充值达到一定金额可以领取相应奖励。",0,0,UI/huodong_tu_14.png,12
15,0,累计登录,"第二天登陆即送500元宝！|第三天登陆送三星弟子殷素素！|第四天登陆即送青铜宝箱*5、青铜钥匙*5|第五天登陆即送黄金宝箱*5！|第六天登陆即送黄金钥匙*1|第七天登陆即送四星武器倚天剑、英雄帖*5|高级侠客极品装备等你来拿！",0,0,UI/huodong_tu_15.png,1
16,0,连续登录,"连续登录达到一定天数后可以领取相应奖励。",0,0,UI/huodong_tu_16.png,7
17,0,元宝市场,"投入越多，回报越多，还不赶快下手。",0,0,UI/huodong_tu_17.png,13
18,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_18.png,17
19,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_19.png,18
20,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_20.png,19
21,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_21.png,20
22,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_22.png,21
23,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_23.png,22
24,0,活动关卡,"特殊活动关卡已经开启了，超值奖励等你来拿。",1,33,UI/huodong_tu_24.png,23
25,0,礼包兑换,"CD-KEY兑换，这里全是好东西，还不赶紧来换！",0,0,UI/huodong_tu_25.png,25
26,0,通天塔,"每日通天塔排行榜奖励：|第1名奖励：500元宝|第2-3名奖励：300元宝|第4-5名奖励：200元宝|第6-10名奖励：150元宝|第11-20名奖励：100元宝|",1,37,UI/huodong_tu_26.png,2
