,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
3001,1,1,无量峰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,"""无量弟子正把守着山门阻止你上山，山上一定有什么不可告人的秘密。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3002,2,2,桃花岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003,"""江湖传闻桃花岛也是缥缈峰的手下，去打听一下消息。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3003,3,3,天龙寺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,"""最近武林邪教频生事端，天龙寺几位长老一定知道发生了什么。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3004,4,4,杏子林,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,"""最近丐帮内部分裂严重，新任帮主为非作歹，去除掉那个恶人。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3005,5,5,燕子坞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,"""传说燕子坞慕容富在谋划复兴大燕，此等谋反之事一定要阻止他。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3006,6,6,四大恶人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,"""四大恶人聚集了一批江湖高手，不知道有何意图。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3007,7,7,全真教,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,"""王真人在江湖上有一定地位，一定知道邪教猖狂的原因。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3008,8,8,无情谷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3009,"""无情谷藏着邪教使者莫愁仙子，去无情谷寻找妖孽。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3009,9,9,五大剑派,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,"""五大剑派掌门与副掌门已经被邪教控制，整个门派邪气甚重，去清理武林败类吧。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3010,10,10,围攻圣火峰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011,"""原来是邪教教主张教主搞的鬼，不能在让他危害武林了。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3011,11,11,屠狮大会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,"""少林派依然不依不饶，抓走了金.狮王，去少林寺营救谢逊。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3012,12,12,汝阳王府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,"""原来当年谢逊误杀空见圣僧是汝阳王府搞的鬼，汝阳王府近年来挑拨中原武林各门派，旧仇新恨一起报。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
