1,2,3,4,5
4001,4,5,1,0
4001,5,10,1,0
4001,7,1,1,0
4001,8,5,1,0
4001,10,20,1,0
4001,11,20,1,0
4001,12,20,1,0
4001,13,20,1,0
4001,15,20,1,0
4001,16,15,1,0
4001,25,5,1,0
4001,26,20,1,0
4001,27,20,1,0
4001,101,5,1,0
4001,102,5,1,0
4001,111,5,1,0
4001,112,5,1,0
4001,113,5,1,0
4001,114,5,1,0
4001,123,5,1,0
4001,124,5,1,0
4001,126,5,1,0
4001,201,2,1,0
4001,202,2,1,0
4001,203,2,1,0
4001,204,2,1,0
4001,205,2,1,0
4001,206,2,1,0
4001,207,2,1,0
4001,208,2,1,0
4001,209,2,1,0
4001,210,2,1,0
4001,211,2,1,0
4001,212,2,1,0
4001,213,2,1,0
4001,214,2,1,0
4001,215,2,1,0
4001,216,2,1,0
4001,217,2,1,0
4001,218,2,1,0
4001,219,2,1,0
4001,220,2,1,0
4002,10201,20,1,0
4002,10202,20,1,0
4002,10203,20,1,0
4002,10204,20,1,0
4002,10205,20,1,0
4002,20201,20,1,0
4002,20202,20,1,0
4002,20203,20,1,0
4002,20204,20,1,0
4002,20205,20,1,0
4002,40201,20,1,0
4002,40202,20,1,0
4002,40203,20,1,0
4002,40204,20,1,0
4002,40205,20,1,0
4002,10301,10,1,0
4002,10302,10,1,0
4002,10303,10,1,0
4002,10304,10,1,0
4002,20301,10,1,0
4002,20302,10,1,0
4002,20303,10,1,0
4002,20304,10,1,0
4002,40301,10,1,0
4002,40302,10,1,0
4002,40303,10,1,0
4002,40304,10,1,0
4002,301,4,1,0
4002,302,4,1,0
4002,303,4,1,0
4002,304,4,1,0
4002,305,4,1,0
4002,306,4,1,0
4002,308,4,1,0
4002,309,4,1,0
4002,310,4,1,0
4002,314,4,1,0
4002,316,4,1,0
4002,317,4,1,0
4002,318,4,1,0
4002,319,4,1,0
4002,320,4,1,0
4002,60101,4,1,0
4002,60102,4,1,0
4002,60103,4,1,0
4002,60104,4,1,0
4002,60105,4,1,0
4002,60106,4,1,0
4002,60107,4,1,0
4003,10301,10,1,0
4003,10302,10,1,0
4003,10303,10,1,0
4003,10304,10,1,0
4003,10401,20,1,0
4003,20301,10,1,0
4003,20302,10,1,0
4003,20303,10,1,0
4003,20304,10,1,0
4003,20401,20,1,0
4003,40301,10,1,0
4003,40302,10,1,0
4003,40303,10,1,0
4003,40304,10,1,0
4003,40401,20,1,0
4003,401,1,1,0
4003,402,1,1,0
4003,403,1,1,0
4003,404,1,1,0
4003,405,1,1,0
4003,406,1,1,0
4003,407,1,1,0
4003,408,1,1,0
4003,409,1,1,0
4003,410,1,1,0
4003,411,1,1,0
4003,412,1,1,0
4003,413,1,1,0
4003,414,1,1,0
4003,415,1,1,0
4003,60201,1,1,0
4003,60202,1,1,0
4003,60203,1,1,0
4003,60204,1,1,0
4003,60205,1,1,0
4003,60206,1,1,0
4003,60207,1,1,0
4003,60208,1,1,0
4003,60209,1,1,0
4003,60210,1,1,0
4003,60211,1,1,0
4003,60212,1,1,0
4003,60213,1,1,0
4003,60301,1,1,0
4003,60302,1,1,0
4003,60303,1,1,0
4003,60304,1,1,0
4003,60305,1,1,0
4003,60306,1,1,0
4003,60307,1,1,0
4003,60308,1,1,0
4003,60309,1,1,0
4003,60310,1,1,0
4004,5,5,1,0
4004,6,10,1,0
4004,8,5,1,0
4004,9,10,1,0
4004,12,10,1,0
4004,14,1,1,0
4004,15,1,1,0
4004,25,1,1,0
4004,26,5,1,0
4004,27,10,1,0
4005,4,1,1,0
4005,5,5,1,0
4005,7,10,1,0
4005,8,5,1,0
4005,10,10,1,0
4005,11,10,1,0
4005,12,10,1,0
4005,14,1,1,0
4005,15,5,1,0
4005,16,1,1,0
4005,25,5,1,0
4005,26,5,1,0
4005,27,10,1,0
4006,14,10,1,0
4006,26,10,1,0
4006,15,10,1,0
4006,16,20,1,0
4006,17,5,1,0
4006,25,10,1,0
4007,5,5,1,0
4007,6,20,1,0
4007,8,5,1,0
4007,9,20,1,0
4007,12,20,1,0
4007,14,20,1,0
4007,15,20,1,0
4007,26,10,1,0
4007,27,20,1,0
4008,5,5,1,0
4008,7,10,1,0
4008,8,5,1,0
4008,12,10,1,0
4008,14,1,1,0
4008,15,5,1,0
4008,16,1,1,0
4008,25,1,1,0
4008,26,5,1,0
4008,27,10,1,0
4008,10301,2,1,0
4008,10304,2,1,0
4009,67,100,1,0
4010,68,100,1,0
4011,69,100,1,0
4012,70,100,1,0
