1,2,3,4,5
1,1,1,10104,1
1,2,1,208,1
1,3,3,26,5
1,4,9,0,1000
1,5,3,14,1
1,6,5,0,10000
1,7,4,0,100
1,8,1,20204,1
1,9,1,60001,1
1,10,3,26,5
1,11,9,0,2000
1,12,3,14,2
1,13,5,0,20000
1,14,3,26,5
1,15,3,25,2
1,16,1,60006,1
1,17,9,0,3000
1,18,3,14,3
1,19,5,0,30000
1,20,3,26,5
1,21,4,0,200
1,22,3,25,3
1,23,1,60001,1
1,24,9,0,4000
1,25,3,14,5
1,26,5,0,40000
1,27,3,26,5
1,28,1,60006,1
1,29,1,60001,1
1,30,4,0,1000
2,1,1,10104,1
2,2,1,208,1
2,3,3,26,5
2,4,9,0,1000
2,5,3,14,1
2,6,5,0,10000
2,7,4,0,100
2,8,1,20204,1
2,9,1,60001,1
2,10,3,26,5
2,11,9,0,2000
2,12,3,14,2
2,13,5,0,20000
2,14,3,26,5
2,15,3,25,2
2,16,1,60006,1
2,17,9,0,3000
2,18,3,14,3
2,19,5,0,30000
2,20,3,26,5
2,21,4,0,200
2,22,3,25,3
2,23,1,60001,1
2,24,9,0,4000
2,25,3,14,5
2,26,5,0,40000
2,27,3,26,5
2,28,1,60006,1
2,29,1,60001,1
2,30,4,0,1000
3,1,1,10104,1
3,2,1,208,1
3,3,3,26,5
3,4,9,0,1000
3,5,3,14,1
3,6,5,0,10000
3,7,4,0,100
3,8,1,20204,1
3,9,1,60001,1
3,10,3,26,5
3,11,9,0,2000
3,12,3,14,2
3,13,5,0,20000
3,14,3,26,5
3,15,3,25,2
3,16,1,60006,1
3,17,9,0,3000
3,18,3,14,3
3,19,5,0,30000
3,20,3,26,5
3,21,4,0,200
3,22,3,25,3
3,23,1,60001,1
3,24,9,0,4000
3,25,3,14,5
3,26,5,0,40000
3,27,3,26,5
3,28,1,60006,1
3,29,1,60001,1
3,30,4,0,1000
4,1,1,10104,1
4,2,1,208,1
4,3,3,26,5
4,4,9,0,1000
4,5,3,14,1
4,6,5,0,10000
4,7,4,0,100
4,8,1,20204,1
4,9,1,60001,1
4,10,3,26,5
