lv,explain,精力,体力,好友数
1,恭喜升到1级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,20,20,5
2,恭喜升到2级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,21,20,6
3,恭喜升到3级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,22,21,7
4,恭喜升到4级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,23,21,8
5,恭喜升到5级，精力体力已经恢复，论剑已经开启！记得开启背包里的新手礼包有特殊福利哦！,24,21,9
6,恭喜升到6级，精力体力已经恢复，学艺已开启！记得开启背包里的新手礼包有特殊福利哦！,25,22,10
7,恭喜升到7级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,26,22,11
8,恭喜升到8级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,27,22,12
9,恭喜升到9级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,28,23,13
10,恭喜升到10级，精力体力已经恢复，记得开启背包里的新手礼包有特殊福利哦！,29,23,14
11,恭喜升到11级，精力体力已经恢复，记得去任务领奖哦！,30,23,15
12,恭喜升到12级，精力体力已经恢复，记得去任务领奖哦！,31,24,16
13,恭喜升到13级，精力体力已经恢复，记得去任务领奖哦！,32,24,17
14,恭喜升到14级，精力体力已经恢复，记得去任务领奖哦！,33,24,18
15,恭喜升到15级，精力体力已经恢复，记得去任务领奖哦！挑战系统已经开放！,34,25,19
16,恭喜升到16级，精力体力已经恢复，记得去任务领奖哦！,35,25,20
17,恭喜升到17级，精力体力已经恢复，记得去任务领奖哦！,36,25,21
18,恭喜升到18级，精力体力已经恢复，记得去任务领奖哦！,37,26,22
19,恭喜升到19级，精力体力已经恢复，记得去任务领奖哦！,38,26,23
20,恭喜升到20级，精力体力已经恢复，记得去任务领奖哦！可以上阵6名侠客啦！,39,26,24
21,恭喜升到21级，精力体力已经恢复，记得去任务领奖哦！,40,27,25
22,恭喜升到22级，精力体力已经恢复，记得去任务领奖哦！,41,27,26
23,恭喜升到23级，精力体力已经恢复，记得去任务领奖哦！,42,27,27
24,恭喜升到24级，精力体力已经恢复，记得去任务领奖哦！,43,28,28
25,恭喜升到25级，精力体力已经恢复，记得去任务领奖哦！夺宝系统已经开放！,44,28,29
26,恭喜升到26级，精力体力已经恢复，记得去任务领奖哦！,45,28,30
27,恭喜升到27级，精力体力已经恢复，记得去任务领奖哦！,46,29,30
28,恭喜升到28级，精力体力已经恢复，记得去任务领奖哦！,47,29,30
29,恭喜升到29级，精力体力已经恢复，记得去任务领奖哦！,48,29,30
30,恭喜升到30级，精力体力已经恢复，记得去任务领奖哦！转生系统已经开放！,49,30,30
31,恭喜升到31级，精力体力已经恢复，记得去任务领奖哦！,50,30,30
32,恭喜升到32级，精力体力已经恢复，记得去任务领奖哦！,51,30,30
33,恭喜升到33级，精力体力已经恢复，记得去任务领奖哦！,52,31,30
34,恭喜升到34级，精力体力已经恢复，记得去任务领奖哦！,53,31,30
35,恭喜升到35级，精力体力已经恢复，记得去任务领奖哦！,54,31,30
36,恭喜升到36级，精力体力已经恢复，记得去任务领奖哦！,55,32,30
37,恭喜升到37级，精力体力已经恢复，记得去任务领奖哦！,56,32,30
38,恭喜升到38级，精力体力已经恢复，记得去任务领奖哦！,57,32,30
39,恭喜升到39级，精力体力已经恢复，记得去任务领奖哦！,58,33,30
40,恭喜升到40级，精力体力已经恢复，记得去任务领奖哦！,59,33,30
41,恭喜升到41级，精力体力已经恢复，记得去任务领奖哦！,60,33,30
42,恭喜升到42级，精力体力已经恢复，记得去任务领奖哦！,61,34,30
43,恭喜升到43级，精力体力已经恢复，记得去任务领奖哦！,62,34,30
44,恭喜升到44级，精力体力已经恢复，记得去任务领奖哦！,63,34,30
45,恭喜升到45级，精力体力已经恢复，记得去任务领奖哦！,64,35,30
46,恭喜升到46级，精力体力已经恢复，记得去任务领奖哦！,65,35,30
47,恭喜升到47级，精力体力已经恢复，记得去任务领奖哦！,66,35,30
48,恭喜升到48级，精力体力已经恢复，记得去任务领奖哦！,67,36,30
49,恭喜升到49级，精力体力已经恢复，记得去任务领奖哦！,68,36,30
50,恭喜升到50级，精力体力已经恢复，记得去任务领奖哦！,69,36,30
51,恭喜升到51级，精力体力已经恢复，记得去任务领奖哦！,70,37,30
52,恭喜升到52级，精力体力已经恢复，记得去任务领奖哦！,71,37,30
53,恭喜升到53级，精力体力已经恢复，记得去任务领奖哦！,72,37,30
54,恭喜升到54级，精力体力已经恢复，记得去任务领奖哦！,73,38,30
55,恭喜升到55级，精力体力已经恢复，记得去任务领奖哦！,74,38,30
56,恭喜升到56级，精力体力已经恢复，记得去任务领奖哦！,75,38,30
57,恭喜升到57级，精力体力已经恢复，记得去任务领奖哦！,76,39,30
58,恭喜升到58级，精力体力已经恢复，记得去任务领奖哦！,77,39,30
59,恭喜升到59级，精力体力已经恢复，记得去任务领奖哦！,78,39,30
60,恭喜升到60级，精力体力已经恢复，记得去任务领奖哦！,79,40,30
61,恭喜升到61级，精力体力已经恢复，记得去任务领奖哦！,80,40,30
62,恭喜升到62级，精力体力已经恢复，记得去任务领奖哦！,81,40,30
63,恭喜升到63级，精力体力已经恢复，记得去任务领奖哦！,82,41,30
64,恭喜升到64级，精力体力已经恢复，记得去任务领奖哦！,83,41,30
65,恭喜升到65级，精力体力已经恢复，记得去任务领奖哦！,84,41,30
66,恭喜升到66级，精力体力已经恢复，记得去任务领奖哦！,85,42,30
67,恭喜升到67级，精力体力已经恢复，记得去任务领奖哦！,86,42,30
68,恭喜升到68级，精力体力已经恢复，记得去任务领奖哦！,87,42,30
69,恭喜升到69级，精力体力已经恢复，记得去任务领奖哦！,88,43,30
70,恭喜升到70级，精力体力已经恢复，记得去任务领奖哦！,89,43,30
71,恭喜升到71级，精力体力已经恢复，记得去任务领奖哦！,90,43,30
72,恭喜升到72级，精力体力已经恢复，记得去任务领奖哦！,91,44,30
73,恭喜升到73级，精力体力已经恢复，记得去任务领奖哦！,92,44,30
74,恭喜升到74级，精力体力已经恢复，记得去任务领奖哦！,93,44,30
75,恭喜升到75级，精力体力已经恢复，记得去任务领奖哦！,94,45,30
76,恭喜升到76级，精力体力已经恢复，记得去任务领奖哦！,95,45,30
77,恭喜升到77级，精力体力已经恢复，记得去任务领奖哦！,96,45,30
78,恭喜升到78级，精力体力已经恢复，记得去任务领奖哦！,97,46,30
79,恭喜升到79级，精力体力已经恢复，记得去任务领奖哦！,98,46,30
80,恭喜升到80级，精力体力已经恢复，记得去任务领奖哦！,99,46,30
81,恭喜升到81级，精力体力已经恢复，记得去任务领奖哦！,100,47,30
82,恭喜升到82级，精力体力已经恢复，记得去任务领奖哦！,101,47,30
83,恭喜升到83级，精力体力已经恢复，记得去任务领奖哦！,102,47,30
84,恭喜升到84级，精力体力已经恢复，记得去任务领奖哦！,103,48,30
85,恭喜升到85级，精力体力已经恢复，记得去任务领奖哦！,104,48,30
86,恭喜升到86级，精力体力已经恢复，记得去任务领奖哦！,105,48,30
87,恭喜升到87级，精力体力已经恢复，记得去任务领奖哦！,106,49,30
