1,2,3,4,5,6,7,8,9,10,11,12,13
1,木婉晴,3,7,飞蝗石,50001,1,1,12000,10,60,60001,1
2,丘处机,3,7,全真剑法,50002,1,1,12000,10,60,60002,1
3,江小鱼,3,7,太祖棍法,50004,1,1,12000,10,60,60003,1
4,钟玲,3,7,飞蝗石,50001,1,1,12000,10,60,60004,1
5,向天问,3,7,吸功入地,50003,1,1,12000,10,60,60005,1
6,周芷若,3,7,峨眉掌法,50005,1,1,12000,10,60,60006,1
7,梅超疯,4,7,九阴枯骨爪,50101,1,1,12000,50,300,60101,1
8,柯惩恶,4,7,伏魔杖法,50102,1,1,12000,50,300,60102,1
9,成琨,4,7,混元神功,50104,1,1,12000,50,300,60103,1
10,莫愁仙子,4,7,冰玉毒针,50103,1,1,12000,50,300,60104,1
11,波斯圣女,4,7,混元神功,50104,1,1,12000,50,300,60105,1
12,穆念慈,4,7,柳叶刀法,50105,1,1,12000,50,300,60106,1
13,蓉儿,5,7,漫天花雨,50201,1,1,12000,100,600,60201,1
14,玄冥双老,5,7,玄冥神功,50202,1,1,12000,100,600,60202,1
15,任教主,5,7,吸星神功,50203,1,1,12000,100,600,60203,1
16,星宿老仙,5,7,化功神功,50204,1,1,12000,100,600,60204,1
17,金蛇琅君,5,7,蛇形剑法,50205,1,1,12000,100,600,60205,1
18,玄悲,5,7,韦陀献杵,50206,1,1,12000,100,600,60206,1
19,龙姑娘,6,7,寒蜂针,50301,1,20,12000,150,1800,60301,1
20,岳掌门,6,7,避邪剑术,50302,1,10,12000,150,1800,60302,1
21,段皇爷,6,7,纯阳指,50303,1,1,12000,150,1800,60303,1
22,洪齐公,6,7,逍遥游,50304,1,20,12000,150,1800,60304,1
23,黄药师,6,7,落樱圣剑掌,50305,1,1,12000,150,1800,60305,1
24,欧阳风,6,7,毒蛇杖法,50306,1,10,12000,150,1800,60306,1
25,张教主,7,7,九阳神功,50401,1,1,12000,200,3600,60401,1
26,扬过,7,7,漠然销魂掌,50403,1,1,12000,200,3600,60402,1
27,令狐少侠,7,7,独孤神剑,50405,1,30,12000,200,3600,60403,1
28,段公子,7,7,六道神剑,50404,1,20,12000,200,3600,60404,1
29,虚竺,7,7,飘渺六阳掌,50402,1,20,12000,200,3600,60405,1
30,萧大王,7,7,降狗棒法,50406,1,30,12000,200,3600,60406,1
31,友坦之,4,7,冰蚕神掌,50111,1,100,12000,50,300,60107,1
32,慕容富,5,7,斗转星移,50207,1,100,12000,100,600,60207,1
33,敏敏郡主,5,7,漫天花雨,50201,1,100,12000,100,600,60208,1
34,五轮法王,5,7,五轮同转,50208,1,100,12000,100,600,60209,1
35,达摩智,5,7,烈阳刀,50209,1,100,12000,100,600,60210,1
36,圣姑,5,7,清心普善咒,50210,1,100,12000,100,600,60211,1
37,裘千仁,5,7,铁杀掌,50211,1,100,12000,100,600,60212,1
38,左掌门,5,7,寒冰掌,50212,1,100,12000,100,600,60213,1
39,老顽童,6,7,清虚拳,50307,1,100,12000,150,1800,60307,1
40,离秋水,6,7,无相神功,50308,1,100,12000,150,1800,60308,1
41,飘渺童姥,6,7,阴阳符,50309,1,100,12000,150,1800,60309,1
42,无厓子,6,7,北冥神掌,50310,1,100,12000,150,1800,60310,1
43,王真人,7,7,先天功,50407,1,100,12000,200,3600,60407,1
44,石惊天,7,7,侠客行神功,50408,1,100,12000,200,3600,60408,1
45,东方菇凉,7,7,葵花神功,50409,1,100,12000,200,3600,60409,1
46,扫地神僧,7,7,扫地棍法,50410,1,100,12000,200,3600,60410,1
47,郭大侠,7,7,降龙神掌,50411,1,100,12000,200,3600,60411,1
