1,2,3,4,5,6,7
1,100,0,0,30,0,0
2,100,0,0,30,0,0
3,100,0,0,30,0,0
4,100,0,0,30,0,0
5,100,0,0,30,0,0
6,100,0,0,30,0,0
7,30,100,0,100,100,0
8,30,100,0,100,100,0
9,30,100,0,100,100,0
10,30,100,0,100,100,0
11,30,100,0,100,100,0
12,30,100,0,100,100,0
13,7,30,100,10,50,100
14,7,30,100,10,50,100
15,7,30,100,10,50,100
16,7,30,100,10,50,100
17,7,30,100,10,50,100
18,7,30,100,10,50,100
19,0,10,10,0,20,80
20,0,10,10,0,20,80
21,0,10,10,0,20,80
22,0,10,10,0,20,80
23,0,10,10,0,20,80
24,0,10,10,0,20,80
25,0,0,2,0,0,12
26,0,0,2,0,0,12
27,0,0,2,0,0,12
28,0,0,2,0,0,12
29,0,0,2,0,0,12
30,0,0,2,0,0,12
