1,2,3,4,5,6,7,8,9,10
300102,305,你回去多寻访一些弟子再来和我较量吧。,0,0,0,0,0,0,无量弟子
300104,304,不强化装备你也想来抢我的桃木剑？,0,0,0,0,0,0,无量弟子
300106,100,"掌门阁下，那东方姑娘四处寻找男宠，你又何必执迷不悟。",60213,"你知道的太多了，活不过今晚了！",0,0,0,0,左掌门
300205,100,"梅超疯你随东方姑娘寻找男宠，犯下恶行，今日便要你老命。",60101,"虽然不知道你在说什么，但总觉得很厉害的样子。",100,"废话少说，看剑。",60101,"别啊，我不认识你阿喂！",梅超疯
300208,60106,"是不是你杀了完颜小王爷，我要替他报仇，呜呜呜。",100,"这位姑娘，你认错人了。",60106,"我不管，呜呜呜。",0,0,穆念慈
300209,60201,"你是谁，来我桃花岛放肆，今天没吃药吗。",100,"你师姐在江湖上兴风作浪，为什么要我吃药。",60201,"呵呵，送你去我爹爹那看看病吧，吃我一剑。",0,0,蓉儿
300306,60004,"你是那教主派来的救兵吗？",0,0,0,0,0,0,钟玲
300310,60404,"这位英雄想见识一下我的六道神剑，那就让你见识一下吧",100,"终于见到世间珍宝六道神剑了，土豪我们做朋友吧！",0,0,0,0,段公子
300406,100,"我去年买了个表，江南七侠怎么也加入丐帮？",60102,"我去年买了个登山包，这都被你发现了。",0,0,0,0,柯惩恶
300409,60107,"你为什么这么叼？竟然伤我丐帮弟兄。",100,"你等屌丝还想攀上枝头。",60107,"我不管，小紫女神叫我做什么，我就做什么。",0,0,友坦之
300505,60212,"这位英雄来本庄有何贵干。",100,"请问贵庄慕容公子在吗？",60212,慕容公子逛街去了，你赶紧滚粗吧。,100,今日不见慕容公子，我是不会走的！,裘千仁
300509,60207,"竟敢阻止我匡扶大燕，受死吧。",100,"慕容公子为什么放弃治疗？大燕早就已经不能复兴，你又何必执迷不悟。",0,0,0,0,慕容富
300604,60206,"我在找我师父，你见到我师父了吗？",100,"你师父贵姓？",60206,"既然你不知道我师父，那就废话少说。",0,0,南海鳄神
300609,60210,"你小子干嘛没事踹我？",100,不好意思，你拄着拐杖的样子实在太帅啦，我情不自禁就想踹你一脚，真是好久没踹的那么爽了。”,0,0,0,0,段远庆
300705,100,"处一啊!几年不见,发育的很好嘛!浑身都是肌肉!。",60002,"这位英雄在下是丘处机，还有，不要套近乎，我们并不认识。",100,"处机啊,发育的挺扎实的嘛！来,让在下看看你的胸肌！",0,0,丘处机
300708,60307,"我师兄正在闭关，要打架就带我一起玩呗。",100,我是来求见王真人，不是来打架的。,60307,来玩玩嘛，看招，三花聚顶！我顶~~~~~,0,0,老顽童
300709,60407,"神功已成！！我已经天下无敌啦！！",0,0,0,0,0,0,王真人
300806,60006,"你已中了情花剧毒，还不快快束手就擒。",100,你是谁？半夜不睡觉出来假扮王祖贤啊。,0,0,0,0,纪筱芙
300808,60104,你已经中了我的毒针，活不过今晚了，哈哈哈。,0,0,0,0,0,0,莫愁仙子
300907,60213,"五大剑派已都在我掌握之中了，让你瞧瞧我的寒冰真气。",100,醒醒，别做梦了，姓岳的早就掌控一切了！,0,0,0,0,左掌门
300911,100,"身为华山掌门，居然勾结邪教，果然是个伪君子。",60302,"真是喜闻乐见，又来了个找死的。",0,0,0,0,岳掌门
301008,60105,"放开教主，让我来。",0,0,0,0,0,0,波斯圣女
301009,60401,"这位英雄，看来你我之间有些误会。",100,"明教早就与邪教同谋，又何来误会？",0,0,0,0,张教主
301106,60206,"诸位施主，谢施主已皈依我佛，你们请回吧。",100,"我已答应了张教主要救出狮王，前辈得罪了。",60206,"阿弥陀佛，施主又何必如此执着。",0,0,玄悲
301108,100,"成琨别想溜走。",60103,"就凭你也想留住我？",0,0,0,0,成琨
301209,60202,"哪里来的毛头小鬼。",100,"没想到江湖上大名鼎鼎的玄冥双老也投靠汝阳王府了。",0,0,0,0,玄冥双老
301210,60208,"果然是条汉子，居然敢夜闯我汝阳王府，不过你就别想活着走出去了。",0,0,0,0,0,0,敏敏郡主
301304,60209,"欧阳兄已吩咐我在此等候多时了。",100,"没想到西诡欧阳风也开始在中原武林为非作歹了。",0,0,0,0,五轮法王
301307,60210,"小僧自天龙寺一别，苦练武功，不如再来切磋切磋。",0,0,0,0,0,0,达摩智
301310,60306,"你连伤我西域多位高手，究竟有何目的。",100,"欧阳风你又来祸害武林，看我为武林除害。",0,0,0,0,欧阳风
301406,112,"星宿老仙，法力无边。",0,0,0,0,0,0,大师兄
301410,100,"星宿老仙，我要为武林除害。",60204,"你竟然打败了我众多星宿派高手，不如拜我为师，你就是我派的大师兄了。",0,0,0,0,星宿老仙
301506,60107,"原来这位英雄勾结邪教谢逊，请阁下离开本庄。",100,"谢逊之事少林寺的诸位高僧知道真相，阁下去少林寺一问便知。",60107,"哼，还想抵赖，接招吧。",0,0,友坦之
301510,60406,"萧某虽已非丐帮帮主，但邪教人士不除不行。",0,0,0,0,0,0,萧大王
301606,60209,"好小子，我们又见面了。",0,0,0,0,0,0,五轮法王
301610,60301,"看你样子也非西域人士，是牛鼻子老道的帮手么？",0,0,0,0,0,0,龙姑娘
301706,100,"你也是邪教中人么？",60005,"看来行踪已经暴露了，只好杀了你小子灭口了。",0,0,0,0,向天问
301708,60211,"居然伤我向叔叔。",0,0,0,0,0,0,圣姑
301709,60203,"老夫在此被关了多年了，终于来了那么多人，好热闹啊，哈哈哈哈。。。",100,"原来你是被邪教关在这里的，我来救你出去。",60203,"你来救我？哈哈哈。。。",0,0,任教主
301710,60403,"任教主已经改邪归正，英雄何必下此毒手。",100,"原来他是邪教中人，早知道就不该放了他。",0,0,0,0,令狐少侠
301806,60202,"来喝碗粥吧，味道不错哦。",0,0,0,0,0,0,赏善罚恶
301809,60203,"来我侠客岛捣乱，还挺有骨气的。",100,"晚辈不知为何众位前辈都开始互相争斗，只好自卫。",60203,"来我侠客岛还不是为了侠客行神功么，如果你战胜了我便让你瞧瞧。",0,0,木龙岛主
301810,60408,"你是谁？我又是谁？",0,0,0,0,0,0,石惊天
301908,60204,"乖徒儿，咱们又见面了。",100,"丁老怪，上次让你逃了，这次你休想跑。",0,0,0,0,星宿老仙
301909,60310,"我设此棋局只为寻找破棋局之人，何必如此争斗。",0,0,0,0,0,0,无厓子
301910,60405,"我对不起少林的诸位师叔师伯，你杀了我吧。",100,"这小和尚说话咱们语无伦次，为什么要杀了你？",0,0,0,0,虚竺
302003,60005,"你救出我任教主很是感谢，但是居然对大小姐如此动手，休怪我手下无情。",100,"邪教又何时手下留情过？放马过来吧。",0,0,0,0,向天问
302006,60211,"你上次伤了我爹爹，我不会放过你的。",0,0,0,0,0,0,圣姑
302009,60203,"小娃娃功夫不错，上次让你侥幸赢了老夫，这次再来较量较量。",100,"任教主没想到你还敢在此为非作歹。",0,0,0,0,任教主
302010,60409,"我莲弟是不是你杀了的？",100,"你就是邪教的教主东方菇凉吗？",60409,"莲弟枉死，我要你偿命。",0,0,东方菇凉
302103,60308,"你能一人独闯缥缈峰，也算你了不起了。",100,"没想到西夏王妃居然也和缥缈峰有瓜葛。",0,0,0,0,离秋水
302108,60309,"上次你居然敢伤了我师弟，这次又伤了我师妹，做师姐的我可不能袖手旁观。",0,0,0,0,0,0,飘渺童姥
302109,60310,"我早已不闻江湖事，为何你老是来找我的麻烦。",0,0,0,0,0,0,无厓子
302110,60310,"让你见识一下飘渺派武功的威力。",0,0,0,0,0,0,飘渺三老
