index,层数,侠客ID,LV,skill,SkillLv,攻击加成,防御加成,生命加成,元宝奖励,金钱奖励,道具包,卡牌包,江湖阅历,剑系特效,掌系特效,内系特效,暗系特效,棍系特效,下一层ID,单层失败卡牌包,单层失败元宝奖励,单层失败金钱奖励,单层失败道具包,单层失败江湖阅历
1,1,60001,3,50001,3,901,901,6512,0,1000,0,0,50,100,100,120,100,80,2,0,0,100,0,5
2,1,60002,3,50002,3,1293,901,4507,0,1000,0,0,50,100,80,100,100,120,2,0,0,100,0,5
3,1,60003,3,50004,3,1173,995,4643,0,1000,0,0,50,80,100,100,120,100,2,0,0,100,0,5
4,1,60004,3,50010,3,995,929,5864,0,1000,0,0,50,100,120,100,80,100,2,0,0,100,0,5
5,1,60005,3,50003,3,1227,908,4764,0,1000,0,0,50,100,120,100,80,100,2,0,0,100,0,5
6,1,60006,3,50005,3,929,1173,4975,0,1000,0,0,50,120,100,80,100,100,2,0,0,100,0,5
7,1,60101,3,50101,3,1737,1628,4387,0,1000,0,0,50,120,100,80,100,100,2,0,0,100,0,5
8,1,60102,3,50102,3,1646,1411,5879,0,1000,0,0,50,80,100,100,120,100,2,0,0,100,0,5
9,1,60103,3,0,3,2017,1040,5924,0,1000,0,0,50,100,120,100,80,100,2,0,0,100,0,5
10,1,60104,3,50103,3,1489,1535,6045,0,1000,0,0,50,100,100,120,100,80,2,0,0,100,0,5
11,1,60105,3,0,3,1375,1896,4764,0,1000,0,0,50,100,120,100,80,100,2,0,0,100,0,5
12,1,60106,3,50105,3,1743,1227,6316,0,1000,0,0,50,100,80,100,100,120,2,0,0,100,0,5
13,1,60107,3,50111,3,1456,859,9573,0,1000,0,0,50,120,100,80,100,100,2,0,0,100,0,5
14,1,60108,3,50105,3,1176,1719,8593,0,1000,0,0,50,100,100,120,100,80,2,0,0,100,0,5
15,2,60001,6,50001,3,1042,1042,7908,0,1000,0,0,50,100,100,120,100,80,3,0,0,100,0,5
16,2,60002,6,50002,3,1573,1042,5212,0,1000,0,0,50,100,80,100,100,120,3,0,0,100,0,5
17,2,60003,6,50004,3,1388,1182,5393,0,1000,0,0,50,80,100,100,120,100,3,0,0,100,0,5
18,2,60004,6,50010,3,1182,1079,6939,0,1000,0,0,50,100,120,100,80,100,3,0,0,100,0,5
19,2,60005,6,50003,3,1424,1057,5742,0,1000,0,0,50,100,120,100,80,100,3,0,0,100,0,5
20,2,60006,6,50005,3,1079,1388,5909,0,1000,0,0,50,120,100,80,100,100,3,0,0,100,0,5
21,2,60101,6,50101,3,2145,1927,5454,0,1000,0,0,50,120,100,80,100,100,3,0,0,100,0,5
22,2,60102,6,50102,3,1973,1827,6772,0,1000,0,0,50,80,100,100,120,100,3,0,0,100,0,5
23,2,60103,6,0,3,2372,1418,6863,0,1000,0,0,50,100,120,100,80,100,3,0,0,100,0,5
24,2,60104,6,50103,3,1979,1751,7075,0,1000,0,0,50,100,100,120,100,80,3,0,0,100,0,5
25,2,60105,6,0,3,1745,2133,6287,0,1000,0,0,50,100,120,100,80,100,3,0,0,100,0,5
26,2,60106,6,50105,3,2151,1460,7666,0,1000,0,0,50,100,80,100,100,120,3,0,0,100,0,5
27,2,60107,6,50111,3,1927,1064,10757,0,1000,0,0,50,120,100,80,100,100,3,0,0,100,0,5
28,2,60108,6,50105,3,1454,2091,10454,0,1000,0,0,50,100,100,120,100,80,3,0,0,100,0,5
29,3,60001,9,50001,3,1185,1185,9318,0,1000,0,0,50,100,100,120,100,80,4,0,0,100,0,5
30,3,60002,9,50002,3,1854,1185,5923,0,1000,0,0,50,100,80,100,100,120,4,0,0,100,0,5
31,3,60003,9,50004,3,1605,1370,6151,0,1000,0,0,50,80,100,100,120,100,4,0,0,100,0,5
32,3,60004,9,50010,3,1370,1230,8024,0,1000,0,0,50,100,120,100,80,100,4,0,0,100,0,5
33,3,60005,9,50003,3,1623,1209,6729,0,1000,0,0,50,100,120,100,80,100,4,0,0,100,0,5
34,3,60006,9,50005,3,1230,1605,6851,0,1000,0,0,50,120,100,80,100,100,4,0,0,100,0,5
35,3,60101,9,50101,3,2558,2229,6532,0,1000,0,0,50,120,100,80,100,100,4,0,0,100,0,5
36,3,60102,9,50102,3,2302,2247,7673,0,1000,0,0,50,80,100,100,120,100,4,0,0,100,0,5
37,3,60103,9,0,3,2731,1800,7810,0,1000,0,0,50,100,120,100,80,100,4,0,0,100,0,5
38,3,60104,9,50103,3,2473,1970,8115,0,1000,0,0,50,100,100,120,100,80,4,0,0,100,0,5
39,3,60105,9,0,3,2119,2372,7826,0,1000,0,0,50,100,120,100,80,100,4,0,0,100,0,5
40,3,60106,9,50105,3,2564,1696,9028,0,1000,0,0,50,100,80,100,100,120,4,0,0,100,0,5
41,3,60107,9,50111,3,2403,1270,11952,0,1000,0,0,50,120,100,80,100,100,4,0,0,100,0,5
42,3,60108,9,50105,3,1736,2466,12332,0,1000,0,0,50,100,100,120,100,80,4,0,0,100,0,5
